Review	Liked
 Seasons 1-6: outstanding. 7: daft but good. 8: disappointing 	0
 Game of Thrones 	0
" Great Beginning, WORST Ending! "	0
 When ending ruins an entire series 	0
" The writers really let themselves, their audience & Martin down... "	0
 SHAME that the show is not re-watchable anymore. 	0
 Best show turned disaster. 	0
 A perfect example of: Falling in Love for the Wrong Guy 	0
 A masterpiece ruined by the most pathetic ending you can get 	0
 Shame of Thrones 	0
 Excellent adaptation. 	1
" Finally, a Show that stays true to it's written roots "	1
 One of the most stunning shows on television 	1
 This was an 10 until S08E03 	0
" Fantastic, until the final season "	0
 Should you still watch Game of Thrones? 	0
 A Message to Dan and Dave 	0
 Lord of the Rings - I think not! 	1
 GOT ruined TV for me! 	1
" Always Was a Little Overrated, But Still One of the Top 5 Series of All Time, Here's Why "	0
" Can we please just restart season 8, perhaps 7 as well, but mainly 8 "	1
 Fantasy has never seemed so real 	0
" Excellent, Raw, Brutal and to the point "	1
 Final Season is a huge disaster 	0
 This TV series is magnificent! 	1
 This rating is caused by the huge disappointment after the last season 	0
 Fresh and Exciting 	1
 Seriously u need a review? 	1
 Fantastic! The scale was amazing and it stayed loyal to the books! 	1
 This one will blow you away! 	1
 Five Great Seasons...Two Great Seasons...and an awful ending 	0
 Disappointment 	0
 Winter was a joke 	0
 One of my favorite TV series ever. 	1
 Season8 is not Game of Thrones! 	0
" Was there with Breaking Bad, but after Season 8 it will sadly become a meme "	0
 Disappointing final season 	0
 Shortest summary 	0
 Season 8 absolute trash 	0
 Great series ruined 	0
 Shame! 	0
 Fallen From the Skies 	0
 Worst ending ever 	0
 Best TV show ever. 	1
 A once amazing show ruined by it's ending 	0
 season 8 ruined all the characters 	0
 Things we do for money 	0
" The new LOST, terrible ending "	0
 Game of Retcons 	0
 Season 7 was a mistake 	0
 A series that rose to such great heights only to dive to abysmal depths 	0
" Post-Book Seasons (6,7,8) Destroyed Everything what Initially Made GoT So Great "	0
 A hard goodbye to Game of Thrones 	0
" Great start, not so great ending "	0
 Ending on a stumble 	0
" Was great, not anymore "	0
 Really sad to give this rating. 	0
 Screwed everything up 	0
 Writers ruined the Epic Series in last season. 	0
 D&D ran out of Book material and it took 1 and 1/2 seasons to show everyone 	0
 One episode to ruin them all 	0
 The worst ending of all time 	0
" 1 , because of what the show became. "	0
 Meme of Thrones 	0
 First impressions aren't everything 	0
 Last season ruined everything they had built on! 	0
 Disappointed 	0
 Stop watching after season 7 	0
 Good show but they missed the point in season Eight. 	0
 An insult to the Golden Age of Television 	0
 What a f......g disappointment 	0
 The Writing Has Been WEAK for some time now. Season 8 writing is AWFUL! 	0
 Wasted something special 	0
 Scares me to see the ending 	0
 A failure to the characters we love... 	0
 Amazing show until season 4. Ok for 5 and 6. Hard to watch for 7 and 8... 	0
 Worst Final Season Ever For a Television Show 	0
 Season 8 Why do you exist ??? 	0
 Season 8 destroys the whole series. 	0
 A once terrific show bogged down due to horrible writing. 	0
 Amazing tv show with a horrible and lazy ending 	0
 Game of Thrones is Over.... 	0
 Think twice before watching all seasons 	0
 The worst season 	0
 WORST ENDING 	0
" A joke ? Or a parody ? I don't know, maybe both ! "	0
 From best to worst - hard fall of GoT 	0
 Great series that became dreadful after a while 	0
 Subverted the entire series! 	0
 WHY GOD WHY? 	0
 Perfect Series destroyed by S8. So heartbreaking. 	0
 Well the first couple of season where good! 	0
 Disapointed with season eight 	0
 A question from D&D 	0
 This used to be a 9 rating 	0
 How to kill a show in one long episode. 	0
 Season 8 episode 3 	0
 What the sh.... 	0
 Season 8 - BURN ALL EXPECTATIONS 	0
 The only important death this season is that of its writing 	0
 Dan and Dave threw it all down the drain. 	0
 Wow what a dumpster fire season 8 is!! 	0
 Final season represents the show's nadir. 	0
 No connection to the books. 	0
 The final 2 seasons disqualify the show. 	0
 Last season destroyed everything 	0
 Season 8 ruined the show 	0
" The build up is for nothing, writers screw fans "	0
 Good action. Zero storytelling in the end. 	0
 Everything ruined 	0
 The end of a franchise 	0
 One episode can destroy a great story 	0
 Do not watch The last season 	1
 I've never felt so conflicted... 	0
 Last 2 seasons sucked 	0
 This is sad 	0
" After the Last Season, I'm very disappointed "	0
 Watch till season 7 then wait for book 	0
 Used to be a 10 review... 	0
 Might have been one of the best series ever... 	0
 Just stop! 	0
 Gets boring after season 5 	0
 don't watch season 8....read the fan theories.....those are better. 	0
 Final season 	0
 Bad Story line 	0
