" Finally, a Show that stays true to it's written roots",9
 Excellent adaptation.,10
 One of the most stunning shows on television,10
 Lord of the Rings - I think not!,10
 Fantasy has never seemed so real,10
" Excellent, Raw, Brutal and to the point",10
 This TV series is magnificent!,10
 Fantastic! The scale was amazing and it stayed loyal to the books!,10
 Fresh and Exciting,10
 This one will blow you away!,10
 GOT ruined TV for me!,10
 Really Surprised!,9
" Fantasy at its finest, for adults!",10
 Hater's Beware- For the new viewer,10
 Absolutely Fantastic,10
 Heads up for GAME OF THRONES,10
 Wow,10
 Absolutely amazing,10
" And so, the story begins",10
 Definitely a keeper!,10
 Masterful Cinema,10
 HBO bags another winner,10
" As expected, some will love it, some will hate it",10
 Best show ever!,10
 OMG! What a Fab show!,10
 One of the Top 5 Best TV Shows EVER. Period.,10
 LOVED IT! A Series steeped in Passion,10
 Worth the hype,10
 Masterpiece,10
 An unexpected masterpiece,10
 GREATEST TV SHOW of all time....The best 50 minutes of TV,10
 An epic tale,10
 TV par excellence,10
 Brought tears to my eyes,10
  There's no shield surfing here!,10
 Well worth the hype,8
 Possibly the worst storyline I will ever encounter...,8
" Excellent adaptation of an amazing book, with some notable flaws",8
 It made me go out and buy the books!,9
" Top 6 Reasons to Watch ""Game of Thrones""!",10
 A 10 for Balance,10
 Perhaps the most overrated show to ever exist,1
 On finding Game of Thrones on VHS,9
 Unbelievably awful,1
 Last Season,10
 I can't understand the popularity of this series.,8
 Superb,9
 The shark has been jumped.,1
" So, that Videodrome film was right...",1
" if its too confronting, watch something else",10
 Series without any ethics and with nothing good to feel about,1
 Had enough of sadistic violence.,1
 A Game that never ends / gets to the point,1
 Game of sellouts.,5
" disgusting, overrated, pointless",1
 Game of Thrones - king of all TV dramas in current production...,10
" Yes, folks, it's falling apart. Season 5-7.",1
 A Plebe Show:,1
 Booooring,1
 The Game is Losing its Throne,7
 The Art of the Cliffhanger,6
 swimming in the sewer,1
 Absolutely Brilliant!,10
 HBO came back again with excellent TV Show,10
 Misogynistic Snuff Gorefest Showcasing GOT Creator's Anger Issue & Tiny Little Imagination,1
 Most Overrated Show in History,3
" True to the Book, Excellent, a Must See",10
 The Bad Guys Always Win,1
" Like a lot, but not love...",6
" Incredible, one of the best works of modern fantasy fiction",10
 IT Doesn't get better than this,10
 Unbelievably Good,10
" Overrated, boring, confusing nonsense",1
 Booooooooorrring!,1
" Will this be another show HBO gets me hooked, before unceromoniously dumping it for inexplicable reasons?",9
 Best Show Ever,10
 The 3rd season is amazing!,10
 Winter of the mind and common sense.,1
" DEAD SERIOUS BLOODY human flesh skewered, NAKED FEMALES PIERCED, organs, maggots, breasts (oh great plot craft too)",1
 Reading or watching?...Reading definitely.,1
 One of the best shows,10
 Only Game In Town,10
 Books are better,1
 UnimaginativeTestosterone Pretending To Be Edgy,1
 Simply the BEST,10
 Could have been so great...,4
 Season 5: Hugely disappointing.,5
" Easily The Greatest Fantasy Television Show Ever, And Better Than Most Fantasy Films.",9
 Game of Moans :(,2
 For those who haven't read the Books.,10
 Best TV Show by far,10
 As true to the books as possible given the time restrictions,10
 What's the big fuss about this show?,1
 Not worth the time,3
 Filth - do not trick yourself into thinking otherwise,1
 I really liked GOT till Season 7,4
 A lot of wind but no direction,5
 Do not miss out!,10
 Best TV Show Ever!,10
 Fans of the book rejoice!! A winner in all categories!,10
 Can't wait for the second season,10
 As good as TV can get,9
" This review is about the season 7 only, may contain spoilers",1
 Depressing Muck,1
 This is mount Everest of TV series,10
 Best TV show ever.,10
 Shame for other TV Series,10
 Incredible Viewing,10
 best,10
 Favorite TV series,10
 No show seems greater to me other than this,10
 Outstanding,10
 The Greatest TV Show of All Time,10
 Amazing,10
 I BLAST MY MIND WITH GAMES OF THRONES,10
 This Is Really THE BEST TV Series Ever made (at least in my opinion),10
 Damn Awesome - Watch it or Earn the Wrath of Arya Stark!,10
 The Best,10
 Outstanding TV Series.,9
 Winter is coming.,10
 Peter Dinklage for an Oscar!!!,10
 The perfect start,10
 Wow... Just wow...,1
 Its like Gossip Girl in the medieval times,1
 Why the World needs Game of Thrones?,10
 There is no better show on TV (at least Fantasy genre) than Game of Thrones.,10
 The best TV show running,10
 You Don't Compare With Lords Of the Ring,10
 Amazing,10
 Outstanding is an understatement,10
 Those Shocking Episode Endings Rule!,
 Torturing Women is The New Normal. Sewer Material Served on Silver Platters.,1
 One of the best series ever!',10
 Quality HBO production,8
 Wow!,10
 The Game of Porcelain Thrones (S1-3),1
 Quite bad actually,8
 best show on now,10
 Most Addicted TV series ever mad in history ....,10
 Best series Ever,10
 Can't get enough of this show,10
 Amazing! (English),10
 Outstanding in all ways,10
 Probably the best TV show in the new millennium so far,10
" Now this is ""TV worth watching!""",10
 Game of Thrones,10
 One of the Greatest of all times.,10
 Wow,10
 Game of thrones,10
 Great views,10
 Fantastic a must see,10
 Deserved of a Throne,9
 Winter is Coming,10
 Game of Thrones Sucks,1
 The Love of My Life,10
 Game of Thrones is a masterpiece,10
 One of the greatest shows of all time,10
 That's some addictive stuff !,10
 The most epic series ever created!,10
" Wheel crafted, well done, a good experience",10
 It's not TV. It's HBO.,10
 Incredible - Its like a web full of little links.,10
" 50% Lord of the Rings, 50% Spartacus Blood and Sand, & 100% awesome",10
 A Song for the eyes and mind,10
 Overrated,1
" I'm sorry, I just don't get it...",10
 The best show on television. Hands down.,10
 Must watch!,10
 Nothing Quiet Like It,8
 Great Books = Great Television Series,10
 Absolutely Amazing,10
 All round fantastic take on the fantasy genre,10
 This is how you turn a great story into great television,10
 At Last - Adult Fantasy For Tolkien Non-Enthusiasts,9
 fantasy that bites,10
 Very fast pace but loyal to book,8
 I wonder why you people like it so much?,1
 Unjustified negativity,8
 A lazy and raunchy series for those that enjoy watching injustice played out,1
 The uproar on the internet intrigued me.,8
 This show is boring to watch,1
 Poor,1
 Seven Kingdoms of epic.,10
 Best TV series ever,10
 The BESSSTTT Show on TV !!!!!!!!!!!,10
 Exceptional storytelling with unmatched depth,9
 Just read below!,10
 Believe the hype,9
 Game of Thrones - Looking forward to more.,10
 Stunning portrayal,10
 Makes everything else look Amateur,10
" Absolutely fantastic...from an ""outsider's"" perspective",10
" Great show, surprised me, bought the books",10
 Nothing ever beats a book...but this is damn close so far,9
 Great Book Adaptation,10
" enough already, with this game of bores",1
 Awful show,1
 I think I know why some are conflicted...,10
 Terrible.. nothing happens,1
 This TV series is magnificent,10
 This show has everything!,10
 Poorly Made and Boring,1
 Don't Trust the Stars,1
 I've never seen a TV show like this one!,10
 Don't watch this... No show you view will ever affect you the same way.,10
" Impressive epic with plenty of violence , fierce combats , plot twists , gore and blood .",8
 Greatest TV series of all time,10
 A ticking time bomb full of Wildfire,10
 10 stars are not enough,10
 Something for everyone!,10
 A show with ups and downs and definitely overrated.,3
 Season five has gone off the rails. Just not the same show.,3
 The novelty wore off 2 seasons ago,3
 Too light to watch,9
 George g...RRR Martin is Horrible,1
 Great on the surface...ran into the ground,7
 A new dimension to an old story,9
 Garbage,3
 Shocking violence,1
 Blood Splattered Soft Porn Set in the Middle Ages,2
" Cheap, weird, bad soap opera",1
 Expensive failure,1
 Great story but I don't feel like seeing a porno,5
 If you haven't watched it go watch it.,10
 Thank You Pedro Pascal,10
 outstanding series!,10
 WOW this is an amazing TV series,10
 Perfection,10
 One of the most stunning... or the most?,10
 Want to Be Entertained; Pull Up a Seat,9
 Excellent Adaptation of A Song of Ice and Fire,9
 Game Of Thrones- You Win or You Die,10
 Deep and Entertaining,10
 Excellent adaptation,9
 Best TV show ever made,10
 Absolutely Magnificent,10
 There is no greater show than Game of Thrones!,10
 The best show out there ever.,10
" Once again, skip these idiot reviews and watch for yourself.",7
 very awesome,10
 The best show currently airing!,10
 One of the best fantasy series,10
 Superb,10
 One of the best TV series i've ever seen,10
 LOTR of the small screen,10
 Absolutely top-class!,10
 Long Live the Seven Kingdoms of Westeroes,10
 I hate this show. ABYSMAL!,1
 Godly,10
 Absolutely riveting,10
 Love love love,10
 A Special Show!!!,10
 Read the books!!!,10
 Complex and Addictive,9
 Perhaps the best TV series of 2011,10
 Even better than sliced bread!!,10
" ""You did not fight nobly!"" ""No... (Points to the chasm he pushed his opponent into) He did!""",10
 Simply the best!,10
 a new addiction,10
" Extremely good, most worthwhile thing on TV right now",10
 The most BORING and overrated show of all time! NOTHING compared to the superior Breaking Bad,1
 An Alternative To Popular Opinion..Read On If You Dare!!!,4
 Dropped the ball,6
 HBO Does it again!,10
 Oh my God what a piece of crap!,1
" Quite overrated and an insult to men, what a great show, right?",1
 So fking overrtate piece of sht,1
 Not a flattering reflection of the book!,2
" If I rated with my emotions, this would be a 7",5
 One of my favorite series.,8
 Absolutely fantastic. The best show in TV history,10
 Fantastic!!,10
 Absolutely groundbreaking!,10
 Valar Morghulis,10
 Brilliant!,
" Noble history, attitudes, and dreams in a nutshell",9
 You may want to sit back and enjoy because well-executed entertainment is coming!,10
 A Legacy to Remember,10
 Excellent swords and sorcery behemoth!,10
 Movie show,10
 Absolutely riveting!,10
 A Stunner!!!!,10
 The best TV show of all time. Do you want to know why?,10
 Breathtaking!,10
 Started out well but...,5
 Pure 100% Gold!George R.R. Martin is a genius!,10
 Why do people always compare series with books?,10
 Probably TV's Finest Show,10
 Captivating,10
" Well Cast, Well Acted, Well Done",9
 watch this show,10
 Best.Show.On.TV,10
 Best TV Series I have ever seen.,10
 Awesome Show,10
 fantasy meets reality,10
" outstanding, but, I'm afraid, most likely popular for the wrong reasons",9
 Sets the bar impossibly high for a TV series!,10
 Fantastic,10
" Having read all the books, I was expecting great things from this series and HBO have done it well.",10
 Quite Possibly the Greatest Thing to Ever Come Out Your TV,10
 Never thought it was going to be this good,10
" A Tasteless, Boring Mess!!!",2
 Meh,4
 Incoherent,3
 Nudity and Gore,2
 A true masterpiece,9
 As good as it gets!,10
 One very sick show,1
" You used to be cool, man",2
" A dark, gritty, twisted fairy-tale. Beautiful, poetic, ruthless and unforgettable!!!",10
 The best show ever !!!,10
 Simply Mind Blowing,10
 Wow.... Simply.... WOW!,10
