Review	Liked
 Finally, a Show that stays true to it's written roots	1
 Excellent adaptation.	1
 One of the most stunning shows on television	1
 Lord of the Rings - I think not!	1
 Fantasy has never seemed so real	1
 Excellent, Raw, Brutal and to the point	1
 This TV series is magnificent!	1
 Fantastic! The scale was amazing and it stayed loyal to the books!	1
 Fresh and Exciting	1
 This one will blow you away!	1
 GOT ruined TV for me!	1
 Really Surprised!	1
 Fantasy at its finest, for adults!	1
 Hater's Beware- For the new viewer	1
 Absolutely Fantastic	1
 Heads up for GAME OF THRONES	1
 Wow	1
 Absolutely amazing	1
 And so, the story begins	1
 Definitely a keeper!	1
 Masterful Cinema	1
 HBO bags another winner	1
 As expected, some will love it, some will hate it	1
 Best show ever!	1
 OMG! What a Fab show!	1
 One of the Top 5 Best TV Shows EVER. Period.	1
 LOVED IT! A Series steeped in Passion	1
 Worth the hype	1
 Masterpiece	1
 An unexpected masterpiece	1
 GREATEST TV SHOW of all time....The best 50 minutes of TV	1
 An epic tale	1
 TV par excellence	1
 Brought tears to my eyes	1
  There's no shield surfing here!	1
 Well worth the hype	0
 Possibly the worst storyline I will ever encounter...	0
 Excellent adaptation of an amazing book, with some notable flaws	0
 It made me go out and buy the books!	1
 Top 6 Reasons to Watch "Game of Thrones"!	1
 A 10 for Balance	1
 Perhaps the most overrated show to ever exist	0
 On finding Game of Thrones on VHS	1
 Unbelievably awful	0
 Last Season	1
 I can't understand the popularity of this series.	0
 Superb	1
 The shark has been jumped.	0
 So, that Videodrome film was right...	0
 if its too confronting, watch something else	1
 Series without any ethics and with nothing good to feel about	0
 Had enough of sadistic violence.	0
 A Game that never ends / gets to the point	0
 Game of sellouts.	0
 disgusting, overrated, pointless	0
 Game of Thrones - king of all TV dramas in current production...	1
 Yes, folks, it's falling apart. Season 5-7.	0
 A Plebe Show:	0
 Booooring	0
 The Game is Losing its Throne	0
 The Art of the Cliffhanger	0
 swimming in the sewer	0
 Absolutely Brilliant!	1
 HBO came back again with excellent TV Show	1
 Misogynistic Snuff Gorefest Showcasing GOT Creator's Anger Issue & Tiny Little Imagination	0
 Most Overrated Show in History	0
 True to the Book, Excellent, a Must See	1
 The Bad Guys Always Win	0
 Like a lot, but not love...	0
 Incredible, one of the best works of modern fantasy fiction	1
 IT Doesn't get better than this	1
 Unbelievably Good	1
 Overrated, boring, confusing nonsense	0
 Booooooooorrring!	0
 Will this be another show HBO gets me hooked, before unceromoniously dumping it for inexplicable reasons?	1
 Best Show Ever	1
 The 3rd season is amazing!	1
 Winter of the mind and common sense.	0
 DEAD SERIOUS BLOODY human flesh skewered, NAKED FEMALES PIERCED, organs, maggots, breasts (oh great plot craft too)	0
 Reading or watching?...Reading definitely.	0
 One of the best shows	1
 Only Game In Town	1
 Books are better	0
